Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Banks,SIVB,0.9886278,108.9466,0.987,1.0418,0.9966667,0.959,0.9814,0.983,0.945,1.015,0.963,0.9946667,1.008,0.989
Trans,SKYW,1.008815,11.71284,0.970125,1.012909,1.020333,0.9656364,1.00075,1.031,0.961,1.013444,0.9655,1.168,0.9980769,0.999
Insurance,SLF,1.000123,35.60475,0.9779091,1.022417,0.9898,0.998,1.00125,1.0192,0.9959286,1.005133,0.992,0.9975714,1.018667,0.9836
ETFs,SLRC,0.9994406,20.41489,0.993,1.01,1.001,1.003667,0.9934167,1.009889,0.9849524,1.0029,0.994,0.9977894,0.9981176,1.004556
Tech,SNDK,1.006818,87.46201,0.979875,1.0299,0.9806667,1.030556,1.041,1.019125,0.969647,1.018312,1.017571,0.9690833,1.03375,0.9923334
Cons-Noncyc,STKL,1.009417,12.13435,1.013625,1.0325,1.023111,1.0052,1.015167,1.010333,1.03,1.004,0.979,1.052,0.9146667,1.0334
Trans,STR,1.003509,23.5985,0.997,1.008,1.017,1.0108,0.9995,1.004429,0.9706,1.0195,0.9860833,1.0282,0.99,1.011
Cons-Cyc,SWK,0.996355,86.72626,0.9961818,1.0078,0.9915,0.9865,1.005,1.009333,0.9706666,1.019,0.9883333,0.98625,0.9994444,0.99625
Utilities,TAC,0.999983,11.26784,1.003111,0.9474286,0.9913334,1.012467,0.9986842,1.007437,0.988,1.001,0.9846842,0.9833,1.0456,1.03675
ETFs,TCO,1.003938,31.10418,0.9998333,1.007,1.008167,1.013733,0.9995334,1.005357,1.0005,1.002158,1.0065,1.003095,1.003158,0.9982222
ETFs,TCPC,0.9958103,16.86535,0.988,1.0045,0.987875,0.9863125,1.015875,1.01725,0.9891428,1.005813,0.9837894,1.002833,1.010333,0.958
ETFs,TCRD,0.9898176,13.57623,0.959,0.9586667,0.96575,0.9797273,1.011875,1.016917,0.985375,1.012778,0.9865556,0.9927778,1.0195,0.9888889
Trans,TK,1.00221,56.70437,1.018818,1.033,0.9786923,1.0078,1.002083,1.018778,0.9751111,1.033625,1.051,0.9268572,0.9529231,1.027833
Trans,TNK,0.9995952,4.018625,0.9385,1.0526,0.95475,0.953875,0.952,1.006,1.017167,1.03925,0.961,1.100667,0.99,1.029333
Cons-Cyc,TOWR,0.9952206,28.2002,0.9758462,1.041286,1.026182,0.9633333,1.034,1.043,0.961,1.009,0.9466667,1.013333,1.016,0.913
Service,TPC,1.00729,27.59017,0.963,1.084444,1.033545,0.99,1.012667,1.0165,0.986,1.02575,0.984,1.005778,0.973,1.0128
Utilities,TRGP,1.012398,115.2581,1.000667,1.061,0.997,1.019667,1.03,1.0115,0.9871666,1.02375,0.995,0.9903333,1.009091,1.0236
